;Avaliações GPT
0;Negativa
1;Extremamente Positiva
2;Negativa
3;Extremamente Positiva
4;Negativa
5;Negativa
6;Positiva
7;Negativa
8;Positiva
9;Positiva
10;Negativa
11;Negativa
12;Negativa
13;Negativa.
14;Extremamente Positiva
15;Positiva
16;Extremamente Positiva
17;Positiva
18;Negativa
19;Positiva
20;Positiva
21;Extremamente Positiva
22;Extremamente Positiva
23;Positiva
24;Extremamente Positiva
25;Negativa
26;Positiva
27;Extremamente Positiva.
28;Negativa
29;Neutra
30;Extremamente Positiva
31;Positiva
32;Extremamente Positiva
33;Positiva
34;Extremamente Positiva
35;Extremamente Positiva
36;Extremamente Positiva
37;Extremamente Positiva
38;Extremamente Positiva
39;Negativa
40;Extremamente Positiva
41;Extremamente Positiva
42;Negativa
43;Extremamente Positiva
44;Extremamente Positiva
45;Extremamente Positiva
46;Extremamente Positiva
47;Extremamente Positiva.
48;Extremamente Positiva
49;Positiva
50;Extremamente Positiva
51;Extremamente Positiva
52;Extremamente Positiva
53;Extremamente Positiva
54;Positiva
55;Positiva
56;Positiva
57;Extremamente Positiva
58;Extremamente Positiva
59;Extremamente Positiva
60;Extremamente Positiva
61;Extremamente Positiva.
62;Extremamente Positiva
63;Positiva
64;Extremamente Positiva
65;Extremamente Positiva
66;Extremamente Positiva
67;Extremamente Positiva
68;Positiva
69;Negativa
70;Negativa.
71;Negativa
72;Negativa
73;Negativa.
74;Extremamente Negativa
75;Negativa
76;Extremamente Negativa
77;Negativa
78;Negativa
79;Negativa
80;Extremamente Negativa.
81;Negativa.
82;Negativa
83;Negativa
84;Negativa
85;Extremamente Negativa
86;Negativa
87;Negativa
88;Classificação: Extremamente Negativa
89;Extremamente Negativa
90;Extremamente Negativa
91;Negativa
92;Extremamente Negativa
93;Negativa
94;Negativa
95;Extremamente Negativa
96;Negativa.
97;Negativa
98;Negativa
99;Negativa
100;Negativa.
101;Extremamente Negativa
